School,Semester,Grade,Subject,Class,Student Name,Score
Olson High School,Fall-2019,10th-Grade,Social Studies,Political studies,Genevieve Jakubowski,91
Olson High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Spanish Literature and Culture,Genevieve Jakubowski,71
Olson High School,Fall-2019,10th-Grade,Performing Arts,Orchestra,Genevieve Jakubowski,71
Olson High School,Fall-2019,10th-Grade,Sciences,AP Physics C (Electricity and Magnetism),Josh Koepp,74
Olson High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Computer programming,Josh Koepp,85
Olson High School,Fall-2019,10th-Grade,English,Popular literature,Josh Koepp,71
Olson High School,Fall-2019,10th-Grade,Physical Education,Swimming,Josh Koepp,84
Olson High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Audio production,Josh Koepp,77
Olson High School,Fall-2019,10th-Grade,History & Social Science,AP United States Government and Politics,Lila Skiles,78
Olson High School,Fall-2019,10th-Grade,Foreign Language,Russian,Lila Skiles,99
Olson High School,Fall-2019,10th-Grade,History & Social Science,AP Psychology,Lila Skiles,90
Olson High School,Fall-2019,10th-Grade,Sciences,AP Physics 2 (Algebra-Based),Lila Skiles,93
Olson High School,Fall-2019,10th-Grade,Sciences,AP Biology,Lila Skiles,98
Olson High School,Fall-2019,10th-Grade,Business,Introduction to business,Jeramy Murazik,86
Olson High School,Fall-2019,10th-Grade,Math,Pre-algebra,Jeramy Murazik,93
Olson High School,Fall-2019,10th-Grade,Social Studies,US government,Jeramy Murazik,84
Olson High School,Fall-2019,10th-Grade,Foreign Language,German,Jeramy Murazik,95
Olson High School,Fall-2019,10th-Grade,Family and Consumer Science,Home economics,Jeramy Murazik,97
Olson High School,Fall-2019,10th-Grade,Math,Fundamentals of math,Meghan Murphy,95
Olson High School,Fall-2019,10th-Grade,History & Social Science,AP Calculus BC,Meghan Murphy,90
Olson High School,Fall-2019,10th-Grade,Math,Algebra 2,Meghan Murphy,87
Olson High School,Fall-2019,10th-Grade,Foreign Language,Spanish,Meghan Murphy,85
Olson High School,Fall-2019,10th-Grade,Performing Arts,Percussion,Meghan Murphy,73
Olson High School,Fall-2019,10th-Grade,Visual Arts,Painting,Jamaal Hand,95
Olson High School,Fall-2019,10th-Grade,Computer Science/Information Technology,App development,Jamaal Hand,96
Olson High School,Fall-2019,10th-Grade,History & Social Science,AP Computer Science Principles,Jamaal Hand,96
Olson High School,Fall-2019,10th-Grade,English,Debate,Jamaal Hand,95
Olson High School,Fall-2019,10th-Grade,Arts,AP Art history,Jamaal Hand,96
Olson High School,Fall-2019,10th-Grade,Arts,AP Music theory,Kay Wintheiser,88
Olson High School,Fall-2019,10th-Grade,Physical Education,Swimming,Kay Wintheiser,76
Olson High School,Fall-2019,10th-Grade,Sciences,AP Physics 1 (Algebra-Based),Kay Wintheiser,78
Olson High School,Fall-2019,10th-Grade,Science,Physical science,Kay Wintheiser,73
Olson High School,Fall-2019,10th-Grade,English,World literature,Kay Wintheiser,74
Olson High School,Fall-2019,10th-Grade,English,Communication skills,Jazmyn Price,74
Olson High School,Fall-2019,10th-Grade,Business,Entrepreneurial skills,Jazmyn Price,86
Olson High School,Fall-2019,10th-Grade,Physical Education,Lifeguard training,Jazmyn Price,91
Olson High School,Fall-2019,10th-Grade,Foreign Language,Chinese,Jazmyn Price,100
Olson High School,Fall-2019,10th-Grade,English,Written and oral communication,Jazmyn Price,92
Olson High School,Fall-2019,10th-Grade,Vocational Education,Hospitality and tourism,Shaylee Mann,89
Olson High School,Fall-2019,10th-Grade,Arts,AP Music theory,Shaylee Mann,100
Olson High School,Fall-2019,10th-Grade,Visual Arts,Photography,Shaylee Mann,79
Olson High School,Fall-2019,10th-Grade,Performing Arts,Theater technology,Shaylee Mann,75
Olson High School,Fall-2019,10th-Grade,English,Contemporary literature,Shaylee Mann,93
Olson High School,Fall-2019,10th-Grade,Vocational Education,Driver education,Lilly McClure,95
Olson High School,Fall-2019,10th-Grade,Physical Education,Aerobics,Lilly McClure,98
Olson High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Spanish Language and Culture,Lilly McClure,81
Olson High School,Fall-2019,10th-Grade,Family and Consumer Science,Chemistry of foods,Lilly McClure,100
Olson High School,Fall-2019,10th-Grade,Family and Consumer Science,Family studies,Lilly McClure,0
Olson High School,Fall-2019,10th-Grade,Family and Consumer Science,Fashion construction,Delpha Murphy,85
Olson High School,Fall-2019,10th-Grade,Visual Arts,Digital media,Delpha Murphy,85
Olson High School,Fall-2019,10th-Grade,Visual Arts,Jewelry design,Delpha Murphy,87
Olson High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Computer programming,Delpha Murphy,81
Olson High School,Fall-2019,10th-Grade,Arts,AP Art history,Delpha Murphy,83
Olson High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Video game development,Johnpaul Russel,72
Olson High School,Fall-2019,10th-Grade,Sciences,AP Physics 2 (Algebra-Based),Johnpaul Russel,92
Olson High School,Fall-2019,10th-Grade,Social Studies,Physical anthropology,Johnpaul Russel,93
Olson High School,Fall-2019,10th-Grade,Family and Consumer Science,Culinary arts,Johnpaul Russel,99
Olson High School,Fall-2019,10th-Grade,Visual Arts,Film production,Johnpaul Russel,97
Olson High School,Fall-2019,10th-Grade,History & Social Science,AP Human Geography,Joshua Hartmann,0
Olson High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Music production,Joshua Hartmann,85
Olson High School,Fall-2019,10th-Grade,Math,Pre-algebra,Joshua Hartmann,75
Olson High School,Fall-2019,10th-Grade,Foreign Language,Arabic,Joshua Hartmann,72
Olson High School,Fall-2019,10th-Grade,English,American literature,Joshua Hartmann,90
Olson High School,Fall-2019,10th-Grade,Physical Education,Weight training,Mattie Heaney,85
Olson High School,Fall-2019,10th-Grade,Foreign Language,Russian,Mattie Heaney,97
Olson High School,Fall-2019,10th-Grade,Visual Arts,Film production,Mattie Heaney,95
Olson High School,Fall-2019,10th-Grade,Math,Practical math,Mattie Heaney,75
Olson High School,Fall-2019,10th-Grade,Social Studies,World politics,Mattie Heaney,100
Olson High School,Fall-2019,10th-Grade,Family and Consumer Science,Fashion and retail merchandising,Kieran Kris,97
Olson High School,Fall-2019,10th-Grade,English,Debate,Kieran Kris,0
Olson High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Music production,Kieran Kris,100
Olson High School,Fall-2019,10th-Grade,Physical Education,Racket sports,Kieran Kris,88
Olson High School,Fall-2019,10th-Grade,Sciences,AP Chemistry,Kieran Kris,80
Olson High School,Fall-2019,10th-Grade,Visual Arts,Sculpture,Joan Towne,87
Olson High School,Fall-2019,10th-Grade,Physical Education,Lifeguard training,Joan Towne,98
Olson High School,Fall-2019,10th-Grade,Business,Personal finance,Joan Towne,75
Olson High School,Fall-2019,10th-Grade,Science,Environmental science,Joan Towne,73
Olson High School,Fall-2019,10th-Grade,Math,Math applications,Joan Towne,83
Olson High School,Fall-2019,10th-Grade,Science,Geology,Zoie Wilderman,96
Olson High School,Fall-2019,10th-Grade,Family and Consumer Science,Fashion construction,Zoie Wilderman,70
Olson High School,Fall-2019,10th-Grade,Social Studies,Modern world studies,Zoie Wilderman,87
Olson High School,Fall-2019,10th-Grade,Sciences,AP Physics 1 (Algebra-Based),Zoie Wilderman,100
Olson High School,Fall-2019,10th-Grade,Foreign Language,Portuguese,Zoie Wilderman,74
Olson High School,Fall-2019,11th-Grade,Computer Science/Information Technology,App development,Jamie Haley,88
Olson High School,Fall-2019,11th-Grade,Family and Consumer Science,Culinary arts,Jamie Haley,99
Olson High School,Fall-2019,11th-Grade,Arts,AP Studio art (2-D design),Jamie Haley,98
Olson High School,Fall-2019,11th-Grade,Math,Probability,Jamie Haley,73
Olson High School,Fall-2019,11th-Grade,History & Social Science,AP World History,Jamie Haley,81
Olson High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Graphic design,Kaela Lehner,100
Olson High School,Fall-2019,11th-Grade,English,Technical writing,Kaela Lehner,90
Olson High School,Fall-2019,11th-Grade,Foreign Language,Japanese,Kaela Lehner,96
Olson High School,Fall-2019,11th-Grade,Math,Trigonometry,Kaela Lehner,77
Olson High School,Fall-2019,11th-Grade,Arts,AP Art history,Kaela Lehner,74
Olson High School,Fall-2019,11th-Grade,Arts,AP Music theory,Hilario Roberts,86
Olson High School,Fall-2019,11th-Grade,English,Popular literature,Hilario Roberts,76
Olson High School,Fall-2019,11th-Grade,Sciences,AP Physics 2 (Algebra-Based),Hilario Roberts,80
Olson High School,Fall-2019,11th-Grade,Sciences,AP Chemistry,Hilario Roberts,81
Olson High School,Fall-2019,11th-Grade,Visual Arts,3-D art,Hilario Roberts,94
Olson High School,Fall-2019,11th-Grade,Foreign Language,Ancient Greek,Angelina Bailey,87
Olson High School,Fall-2019,11th-Grade,World Languages and Cultures,AP Italian Language and Culture,Angelina Bailey,95
Olson High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Video game development,Angelina Bailey,85
Olson High School,Fall-2019,11th-Grade,English,Communication skills,Angelina Bailey,78
Olson High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Word processing,Angelina Bailey,83
Olson High School,Fall-2019,11th-Grade,Family and Consumer Science,Culinary arts,Skylar Crist,71
Olson High School,Fall-2019,11th-Grade,Social Studies,US history,Skylar Crist,93
Olson High School,Fall-2019,11th-Grade,Foreign Language,Russian,Skylar Crist,87
Olson High School,Fall-2019,11th-Grade,Foreign Language,Ancient Greek,Skylar Crist,71
Olson High School,Fall-2019,11th-Grade,Vocational Education,Auto body repair,Skylar Crist,99
Olson High School,Fall-2019,11th-Grade,Arts,AP Studio art (3-D design),Nova Williamson,81
Olson High School,Fall-2019,11th-Grade,Sciences,AP Physics 2 (Algebra-Based),Nova Williamson,99
Olson High School,Fall-2019,11th-Grade,World Languages and Cultures,AP French Language and Culture,Nova Williamson,97
Olson High School,Fall-2019,11th-Grade,Social Studies,Microeconomics,Nova Williamson,82
Olson High School,Fall-2019,11th-Grade,Visual Arts,Drawing,Nova Williamson,99
Olson High School,Fall-2019,11th-Grade,Business,Consumer education,Augusta Schaefer,94
Olson High School,Fall-2019,11th-Grade,Vocational Education,Fire science,Augusta Schaefer,99
Olson High School,Fall-2019,11th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Augusta Schaefer,0
Olson High School,Fall-2019,11th-Grade,History & Social Science,AP Comparative government and politics,Augusta Schaefer,83
Olson High School,Fall-2019,11th-Grade,History & Social Science,AP Computer Science A,Augusta Schaefer,84
Olson High School,Fall-2019,11th-Grade,Business,Introduction to business,Maurice Keeling,86
Olson High School,Fall-2019,11th-Grade,Vocational Education,Metalworking,Maurice Keeling,90
Olson High School,Fall-2019,11th-Grade,Visual Arts,Jewelry design,Maurice Keeling,85
Olson High School,Fall-2019,11th-Grade,Foreign Language,Russian,Maurice Keeling,90
Olson High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Music production,Maurice Keeling,79
Olson High School,Fall-2019,11th-Grade,Family and Consumer Science,Chemistry of foods,Johnnie Barton,75
Olson High School,Fall-2019,11th-Grade,Performing Arts,Theater technology,Johnnie Barton,84
Olson High School,Fall-2019,11th-Grade,Foreign Language,Chinese,Johnnie Barton,94
Olson High School,Fall-2019,11th-Grade,Sciences,AP Physics 1 (Algebra-Based),Johnnie Barton,72
Olson High School,Fall-2019,11th-Grade,Science,Electronics,Johnnie Barton,96
Olson High School,Fall-2019,11th-Grade,Performing Arts,Jazz band,Dallas Klein,91
Olson High School,Fall-2019,11th-Grade,History & Social Science,AP Microeconomics,Dallas Klein,73
Olson High School,Fall-2019,11th-Grade,Physical Education,Specialized sports,Dallas Klein,95
Olson High School,Fall-2019,11th-Grade,Physical Education,Yoga,Dallas Klein,100
Olson High School,Fall-2019,11th-Grade,Family and Consumer Science,Fashion and retail merchandising,Dallas Klein,90
Olson High School,Fall-2019,11th-Grade,Family and Consumer Science,Interior design,Damion Hagenes,73
Olson High School,Fall-2019,11th-Grade,Family and Consumer Science,Family studies,Damion Hagenes,80
Olson High School,Fall-2019,11th-Grade,World Languages and Cultures,AP German Language and Culture,Damion Hagenes,0
Olson High School,Fall-2019,11th-Grade,Vocational Education,Networking,Damion Hagenes,76
Olson High School,Fall-2019,11th-Grade,Foreign Language,American Sign Language,Damion Hagenes,94
Olson High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Word processing,Buford Haley,82
Olson High School,Fall-2019,11th-Grade,Foreign Language,French,Buford Haley,80
Olson High School,Fall-2019,11th-Grade,Family and Consumer Science,Early childhood development,Buford Haley,0
Olson High School,Fall-2019,11th-Grade,Arts,AP Music theory,Buford Haley,73
Olson High School,Fall-2019,11th-Grade,Performing Arts,Music theory,Buford Haley,97
Olson High School,Fall-2019,11th-Grade,History & Social Science,AP Computer Science Principles,Jordy Gutkowski,76
Olson High School,Fall-2019,11th-Grade,Social Studies,European history,Jordy Gutkowski,100
Olson High School,Fall-2019,11th-Grade,Foreign Language,Latin,Jordy Gutkowski,74
Olson High School,Fall-2019,11th-Grade,Vocational Education,Auto mechanics,Jordy Gutkowski,72
Olson High School,Fall-2019,11th-Grade,Science,Geology,Jordy Gutkowski,99
Olson High School,Fall-2019,11th-Grade,Family and Consumer Science,Early childhood development,Gustave Leuschke,90
Olson High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Web programming,Gustave Leuschke,100
Olson High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Music production,Gustave Leuschke,71
Olson High School,Fall-2019,11th-Grade,Science,Environmental science,Gustave Leuschke,78
Olson High School,Fall-2019,11th-Grade,Social Studies,Political studies,Gustave Leuschke,100
Olson High School,Fall-2019,11th-Grade,Social Studies,Current events,Armand Metz,82
Olson High School,Fall-2019,11th-Grade,Performing Arts,Concert band,Armand Metz,90
Olson High School,Fall-2019,11th-Grade,Physical Education,Health,Armand Metz,94
Olson High School,Fall-2019,11th-Grade,Sciences,AP Environmental Science,Armand Metz,99
Olson High School,Fall-2019,11th-Grade,Social Studies,US government,Armand Metz,96
Olson High School,Fall-2019,11th-Grade,Arts,AP Studio art (drawing),Koby Adams,96
Olson High School,Fall-2019,11th-Grade,History & Social Science,AP European history,Koby Adams,0
Olson High School,Fall-2019,11th-Grade,Vocational Education,Cosmetology,Koby Adams,0
Olson High School,Fall-2019,11th-Grade,Physical Education,Dance,Koby Adams,93
Olson High School,Fall-2019,11th-Grade,Business,Accounting,Koby Adams,75
Olson High School,Fall-2019,11th-Grade,Social Studies,Geography,Kayla Dicki,94
Olson High School,Fall-2019,11th-Grade,Science,Physics,Kayla Dicki,86
Olson High School,Fall-2019,11th-Grade,World Languages and Cultures,AP Spanish Literature and Culture,Kayla Dicki,96
Olson High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Audio production,Kayla Dicki,83
Olson High School,Fall-2019,11th-Grade,Science,Geology,Kayla Dicki,76
Olson High School,Fall-2019,11th-Grade,Arts,AP Studio art (drawing),Brisa Pollich,90
Olson High School,Fall-2019,11th-Grade,English,Journalism,Brisa Pollich,85
Olson High School,Fall-2019,11th-Grade,Sciences,AP Chemistry,Brisa Pollich,81
Olson High School,Fall-2019,11th-Grade,Physical Education,Yoga,Brisa Pollich,95
Olson High School,Fall-2019,11th-Grade,Family and Consumer Science,Nutrition,Brisa Pollich,96
Olson High School,Fall-2019,11th-Grade,English,Journalism,Gay Rodriguez,73
Olson High School,Fall-2019,11th-Grade,Physical Education,Dance,Gay Rodriguez,75
Olson High School,Fall-2019,11th-Grade,Math,Consumer math,Gay Rodriguez,0
Olson High School,Fall-2019,11th-Grade,Foreign Language,Korean,Gay Rodriguez,83
