School,Semester,Grade,Subject,Class,Student Name,Score
VonRueden High School,Fall-2019,9th-Grade,Social Studies,World religions,Don Homenick,87
VonRueden High School,Fall-2019,9th-Grade,History & Social Science,Math & Computer Science,Don Homenick,100
VonRueden High School,Fall-2019,9th-Grade,Vocational Education,Refrigeration fundamentals,Don Homenick,98
VonRueden High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Music production,Don Homenick,82
VonRueden High School,Fall-2019,9th-Grade,Science,Zoology,Don Homenick,82
VonRueden High School,Fall-2019,9th-Grade,Social Studies,Women’s studies,Emelia Keebler,93
VonRueden High School,Fall-2019,9th-Grade,Physical Education,Swimming,Emelia Keebler,96
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Art history,Emelia Keebler,88
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,Russian,Emelia Keebler,73
VonRueden High School,Fall-2019,9th-Grade,English,Poetry,Emelia Keebler,99
VonRueden High School,Fall-2019,9th-Grade,Science,Earth science,Muhammad Mohr,97
VonRueden High School,Fall-2019,9th-Grade,Business,Consumer education,Muhammad Mohr,76
VonRueden High School,Fall-2019,9th-Grade,Social Studies,World history,Muhammad Mohr,96
VonRueden High School,Fall-2019,9th-Grade,English,Works of Shakespeare,Muhammad Mohr,80
VonRueden High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Typing,Muhammad Mohr,78
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Studio art (2-D design),Jamir Langosh,87
VonRueden High School,Fall-2019,9th-Grade,Social Studies,Physical anthropology,Jamir Langosh,92
VonRueden High School,Fall-2019,9th-Grade,Vocational Education,Fire science,Jamir Langosh,86
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Spanish Literature and Culture,Jamir Langosh,81
VonRueden High School,Fall-2019,9th-Grade,Math,Trigonometry,Jamir Langosh,78
VonRueden High School,Fall-2019,9th-Grade,Physical Education,Gymnastics,Sylvan Prohaska,94
VonRueden High School,Fall-2019,9th-Grade,Family and Consumer Science,Culinary arts,Sylvan Prohaska,70
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP German Language and Culture,Sylvan Prohaska,76
VonRueden High School,Fall-2019,9th-Grade,Family and Consumer Science,Home economics,Sylvan Prohaska,98
VonRueden High School,Fall-2019,9th-Grade,Foreign Language,American Sign Language,Sylvan Prohaska,85
VonRueden High School,Fall-2019,9th-Grade,Performing Arts,Theater technology,Zachariah Will,74
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Studio art (drawing),Zachariah Will,71
VonRueden High School,Fall-2019,9th-Grade,History & Social Science,AP Comparative government and politics,Zachariah Will,85
VonRueden High School,Fall-2019,9th-Grade,History & Social Science,AP Calculus AB,Zachariah Will,100
VonRueden High School,Fall-2019,9th-Grade,History & Social Science,AP World History,Zachariah Will,88
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Music theory,Casey Ferry,78
VonRueden High School,Fall-2019,9th-Grade,Vocational Education,Woodworking,Casey Ferry,85
VonRueden High School,Fall-2019,9th-Grade,History & Social Science,AP Calculus AB,Casey Ferry,91
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Studio art (drawing),Casey Ferry,84
VonRueden High School,Fall-2019,9th-Grade,Sciences,AP Chemistry,Casey Ferry,0
VonRueden High School,Fall-2019,9th-Grade,History & Social Science,Math & Computer Science,Cortez Romaguera,84
VonRueden High School,Fall-2019,9th-Grade,Family and Consumer Science,Nutrition,Cortez Romaguera,70
VonRueden High School,Fall-2019,9th-Grade,English,Journalism,Cortez Romaguera,72
VonRueden High School,Fall-2019,9th-Grade,Business,Entrepreneurial skills,Cortez Romaguera,87
VonRueden High School,Fall-2019,9th-Grade,Math,Consumer math,Cortez Romaguera,72
VonRueden High School,Fall-2019,9th-Grade,Family and Consumer Science,Family studies,Leola Hammes,70
VonRueden High School,Fall-2019,9th-Grade,Vocational Education,Criminal justice,Leola Hammes,93
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Art history,Leola Hammes,100
VonRueden High School,Fall-2019,9th-Grade,Arts,AP Studio art (2-D design),Leola Hammes,90
VonRueden High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Latin,Leola Hammes,74
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Digital media,Esteban Waters,74
VonRueden High School,Fall-2019,9th-Grade,Math,Trigonometry,Esteban Waters,95
VonRueden High School,Fall-2019,9th-Grade,Vocational Education,Metalworking,Esteban Waters,83
VonRueden High School,Fall-2019,9th-Grade,Performing Arts,Jazz band,Esteban Waters,84
VonRueden High School,Fall-2019,9th-Grade,Business,Business law,Esteban Waters,91
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Drawing,Neal Collins,90
VonRueden High School,Fall-2019,9th-Grade,Science,Electronics,Neal Collins,83
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Digital media,Neal Collins,88
VonRueden High School,Fall-2019,9th-Grade,Social Studies,US government,Neal Collins,80
VonRueden High School,Fall-2019,9th-Grade,Visual Arts,Printmaking,Neal Collins,99
VonRueden High School,Fall-2019,10th-Grade,Social Studies,Law,Alayna Block,73
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Biology,Alayna Block,80
VonRueden High School,Fall-2019,10th-Grade,Vocational Education,Criminal justice,Alayna Block,90
VonRueden High School,Fall-2019,10th-Grade,Social Studies,Geography,Alayna Block,77
VonRueden High School,Fall-2019,10th-Grade,History & Social Science,AP European history,Alayna Block,98
VonRueden High School,Fall-2019,10th-Grade,Performing Arts,Jazz band,Willow Jenkins,84
VonRueden High School,Fall-2019,10th-Grade,Vocational Education,Hospitality and tourism,Willow Jenkins,88
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Music theory,Willow Jenkins,95
VonRueden High School,Fall-2019,10th-Grade,Family and Consumer Science,Family studies,Willow Jenkins,84
VonRueden High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Latin,Willow Jenkins,94
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Studio art (3-D design),Jerrold Jacobs,0
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Studio art (2-D design),Jerrold Jacobs,75
VonRueden High School,Fall-2019,10th-Grade,English,Poetry,Jerrold Jacobs,84
VonRueden High School,Fall-2019,10th-Grade,Business,Business management,Jerrold Jacobs,84
VonRueden High School,Fall-2019,10th-Grade,Science,Electronics,Jerrold Jacobs,92
VonRueden High School,Fall-2019,10th-Grade,Vocational Education,Robotics,Marjory Dibbert,70
VonRueden High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Marjory Dibbert,84
VonRueden High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Graphic design,Marjory Dibbert,83
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Environmental Science,Marjory Dibbert,79
VonRueden High School,Fall-2019,10th-Grade,History & Social Science,AP United States History,Marjory Dibbert,76
VonRueden High School,Fall-2019,10th-Grade,Math,Practical math,Marques Cremin,81
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Specialized sports,Marques Cremin,80
VonRueden High School,Fall-2019,10th-Grade,Science,Oceanography,Marques Cremin,93
VonRueden High School,Fall-2019,10th-Grade,Social Studies,World religions,Marques Cremin,97
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Swimming,Marques Cremin,85
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Studio art (2-D design),Hortense Windler,82
VonRueden High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Spanish Language and Culture,Hortense Windler,83
VonRueden High School,Fall-2019,10th-Grade,Visual Arts,Photography,Hortense Windler,75
VonRueden High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Spanish Literature and Culture,Hortense Windler,87
VonRueden High School,Fall-2019,10th-Grade,Science,Physics,Hortense Windler,92
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Health,Julius Blick,74
VonRueden High School,Fall-2019,10th-Grade,Math,Computer math,Julius Blick,78
VonRueden High School,Fall-2019,10th-Grade,Business,Entrepreneurial skills,Julius Blick,75
VonRueden High School,Fall-2019,10th-Grade,Family and Consumer Science,Early childhood development,Julius Blick,72
VonRueden High School,Fall-2019,10th-Grade,Visual Arts,Jewelry design,Julius Blick,88
VonRueden High School,Fall-2019,10th-Grade,Vocational Education,Metalworking,Hiram Rutherford,80
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,American Sign Language,Hiram Rutherford,94
VonRueden High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Spanish Language and Culture,Hiram Rutherford,71
VonRueden High School,Fall-2019,10th-Grade,Social Studies,Microeconomics,Hiram Rutherford,83
VonRueden High School,Fall-2019,10th-Grade,Social Studies,Macroeconomics,Hiram Rutherford,86
VonRueden High School,Fall-2019,10th-Grade,Math,Pre-calculus,Pauline Hackett,0
VonRueden High School,Fall-2019,10th-Grade,Visual Arts,Art history,Pauline Hackett,95
VonRueden High School,Fall-2019,10th-Grade,Social Studies,World history,Pauline Hackett,98
VonRueden High School,Fall-2019,10th-Grade,Family and Consumer Science,Chemistry of foods,Pauline Hackett,96
VonRueden High School,Fall-2019,10th-Grade,World Languages and Cultures,AP French Language and Culture,Pauline Hackett,77
VonRueden High School,Fall-2019,10th-Grade,History & Social Science,AP Calculus AB,Dannie Hessel,96
VonRueden High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Web design,Dannie Hessel,81
VonRueden High School,Fall-2019,10th-Grade,English,American literature,Dannie Hessel,98
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Weight training,Dannie Hessel,80
VonRueden High School,Fall-2019,10th-Grade,Family and Consumer Science,Nutrition,Dannie Hessel,79
VonRueden High School,Fall-2019,10th-Grade,Visual Arts,Sculpture,Alexandrine Stoltenberg,76
VonRueden High School,Fall-2019,10th-Grade,English,Modern literature,Alexandrine Stoltenberg,79
VonRueden High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Typing,Alexandrine Stoltenberg,78
VonRueden High School,Fall-2019,10th-Grade,English,Journalism,Alexandrine Stoltenberg,87
VonRueden High School,Fall-2019,10th-Grade,Social Studies,Psychology,Alexandrine Stoltenberg,80
VonRueden High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Web programming,Callie Huels,80
VonRueden High School,Fall-2019,10th-Grade,Science,Environmental science,Callie Huels,78
VonRueden High School,Fall-2019,10th-Grade,Business,Introduction to business,Callie Huels,92
VonRueden High School,Fall-2019,10th-Grade,History & Social Science,AP Computer Science Principles,Callie Huels,85
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Studio art (2-D design),Callie Huels,100
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Health,Darron Mitchell,81
VonRueden High School,Fall-2019,10th-Grade,Family and Consumer Science,Chemistry of foods,Darron Mitchell,71
VonRueden High School,Fall-2019,10th-Grade,Math,Algebra 1,Darron Mitchell,79
VonRueden High School,Fall-2019,10th-Grade,Business,Accounting,Darron Mitchell,89
VonRueden High School,Fall-2019,10th-Grade,World Languages and Cultures,AP German Language and Culture,Darron Mitchell,83
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Weight training,Sterling Bailey,81
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,Korean,Sterling Bailey,91
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Physics 1 (Algebra-Based),Sterling Bailey,72
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Physics 2 (Algebra-Based),Sterling Bailey,97
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Yoga,Sterling Bailey,95
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Gymnastics,Anita Ferry,88
VonRueden High School,Fall-2019,10th-Grade,Social Studies,Psychology,Anita Ferry,98
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Environmental Science,Anita Ferry,87
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Physics 2 (Algebra-Based),Anita Ferry,79
VonRueden High School,Fall-2019,10th-Grade,English,Contemporary literature,Anita Ferry,88
VonRueden High School,Fall-2019,10th-Grade,Business,Entrepreneurial skills,Elsie Brakus,95
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Weight training,Elsie Brakus,83
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,Hebrew,Elsie Brakus,98
VonRueden High School,Fall-2019,10th-Grade,Performing Arts,Dance,Elsie Brakus,90
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Studio art (3-D design),Elsie Brakus,87
VonRueden High School,Fall-2019,10th-Grade,Science,Physics,Garrett McGlynn,81
VonRueden High School,Fall-2019,10th-Grade,English,British literature,Garrett McGlynn,79
VonRueden High School,Fall-2019,10th-Grade,Business,Business management,Garrett McGlynn,88
VonRueden High School,Fall-2019,10th-Grade,Vocational Education,Criminal justice,Garrett McGlynn,98
VonRueden High School,Fall-2019,10th-Grade,Vocational Education,Building construction,Garrett McGlynn,87
VonRueden High School,Fall-2019,10th-Grade,Social Studies,Microeconomics,Kaycee Osinski,77
VonRueden High School,Fall-2019,10th-Grade,Visual Arts,Printmaking,Kaycee Osinski,100
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Physics 2 (Algebra-Based),Kaycee Osinski,96
VonRueden High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Computer repair,Kaycee Osinski,71
VonRueden High School,Fall-2019,10th-Grade,Family and Consumer Science,Fashion and retail merchandising,Kaycee Osinski,86
VonRueden High School,Fall-2019,10th-Grade,Business,Business law,Kaia Fritsch,95
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,Latin,Kaia Fritsch,79
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Physics C (Electricity and Magnetism),Kaia Fritsch,91
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Biology,Kaia Fritsch,90
VonRueden High School,Fall-2019,10th-Grade,Family and Consumer Science,Early childhood development,Kaia Fritsch,76
VonRueden High School,Fall-2019,10th-Grade,Vocational Education,Refrigeration fundamentals,Moshe Bernhard,83
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Physics 2 (Algebra-Based),Moshe Bernhard,97
VonRueden High School,Fall-2019,10th-Grade,Science,Astronomy,Moshe Bernhard,97
VonRueden High School,Fall-2019,10th-Grade,Math,Algebra 1,Moshe Bernhard,0
VonRueden High School,Fall-2019,10th-Grade,Vocational Education,Electronics,Moshe Bernhard,86
VonRueden High School,Fall-2019,10th-Grade,Vocational Education,Building construction,Melba Kuvalis,91
VonRueden High School,Fall-2019,10th-Grade,Family and Consumer Science,Early childhood development,Melba Kuvalis,78
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,Spanish,Melba Kuvalis,95
VonRueden High School,Fall-2019,10th-Grade,Family and Consumer Science,Culinary arts,Melba Kuvalis,93
VonRueden High School,Fall-2019,10th-Grade,English,World literature,Melba Kuvalis,99
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,Italian,Quinten Willms,82
VonRueden High School,Fall-2019,10th-Grade,Vocational Education,Plumbing,Quinten Willms,74
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Music theory,Quinten Willms,76
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Art history,Quinten Willms,93
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Studio art (2-D design),Quinten Willms,75
VonRueden High School,Fall-2019,10th-Grade,English,Humanities,Brenna White,79
VonRueden High School,Fall-2019,10th-Grade,Visual Arts,Photography,Brenna White,95
VonRueden High School,Fall-2019,10th-Grade,Social Studies,US government,Brenna White,97
VonRueden High School,Fall-2019,10th-Grade,Family and Consumer Science,Chemistry of foods,Brenna White,85
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Studio art (2-D design),Brenna White,86
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Swimming,Furman West,96
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,German,Furman West,77
VonRueden High School,Fall-2019,10th-Grade,History & Social Science,Math & Computer Science,Furman West,74
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Studio art (3-D design),Furman West,98
VonRueden High School,Fall-2019,10th-Grade,Science,Botany,Furman West,70
VonRueden High School,Fall-2019,10th-Grade,Performing Arts,Music theory,Sibyl Bergstrom,72
VonRueden High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Sibyl Bergstrom,95
VonRueden High School,Fall-2019,10th-Grade,Arts,AP Studio art (drawing),Sibyl Bergstrom,88
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Weight training,Sibyl Bergstrom,91
VonRueden High School,Fall-2019,10th-Grade,Business,Marketing,Sibyl Bergstrom,78
VonRueden High School,Fall-2019,10th-Grade,Performing Arts,Orchestra,Janiya Zemlak,76
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,Russian,Janiya Zemlak,94
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Racket sports,Janiya Zemlak,78
VonRueden High School,Fall-2019,10th-Grade,English,Creative writing,Janiya Zemlak,77
VonRueden High School,Fall-2019,10th-Grade,Math,Integrated math,Janiya Zemlak,85
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,Ancient Greek,Jayson Sipes,75
VonRueden High School,Fall-2019,10th-Grade,Performing Arts,World music,Jayson Sipes,77
VonRueden High School,Fall-2019,10th-Grade,Business,Business law,Jayson Sipes,78
VonRueden High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Animation,Jayson Sipes,78
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Chemistry,Jayson Sipes,72
VonRueden High School,Fall-2019,10th-Grade,Visual Arts,Painting,Ova Dare,87
VonRueden High School,Fall-2019,10th-Grade,Social Studies,Global studies,Ova Dare,75
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,Portuguese,Ova Dare,84
VonRueden High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Chinese Language and Culture,Ova Dare,72
VonRueden High School,Fall-2019,10th-Grade,Visual Arts,Digital media,Ova Dare,90
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,Korean,Alfonzo Von,73
VonRueden High School,Fall-2019,10th-Grade,English,Debate,Alfonzo Von,81
VonRueden High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Web design,Alfonzo Von,91
VonRueden High School,Fall-2019,10th-Grade,Social Studies,Human geography,Alfonzo Von,83
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Physics 1 (Algebra-Based),Alfonzo Von,91
VonRueden High School,Fall-2019,10th-Grade,Performing Arts,Choir,Malvina Bosco,73
VonRueden High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Video game development,Malvina Bosco,83
VonRueden High School,Fall-2019,10th-Grade,Physical Education,Racket sports,Malvina Bosco,95
VonRueden High School,Fall-2019,10th-Grade,Sciences,AP Physics 1 (Algebra-Based),Malvina Bosco,87
VonRueden High School,Fall-2019,10th-Grade,Foreign Language,Hebrew,Malvina Bosco,91
VonRueden High School,Fall-2019,11th-Grade,Arts,AP Studio art (drawing),Davion Mante,95
